artist,style,genre,movement,tags,url,img,file_name
Silvestro Lega,Realism,portrait,Realism,['1880spaintingsfromItaly'],https://www.wikiart.org/en/silvestro-lega/portrait-of-eleonora-tommasi-1880,https://uploads0.wikiart.org/00360/images/silvestro-lega/lega-eleonora-tommasi.jpg!Large.jpg,63583-lega-eleonora-tommasi.jpg
Jean Auguste Dominique Ingres,Neoclassicism,portrait,Neoclassicism,,https://www.wikiart.org/en/jean-auguste-dominique-ingres/pindar-and-ictinus,https://uploads8.wikiart.org/00381/images/jean-auguste-dominique-ingres/pindar-and-ictinus-jean-auguste-dominique-ingres.jpg!Large.jpg,32483-pindar-and-ictinus-jean-auguste-dominique-ingres.jpg
Pierre-Auguste Renoir,Impressionism,portrait,Impressionism,['Lady'],https://www.wikiart.org/en/pierre-auguste-renoir/madame-paul-gallimard-nee-lucie-duche-1892,https://uploads8.wikiart.org/images/pierre-auguste-renoir/madame-paul-gallimard-nee-lucie-duche-1892.jpg!Large.jpg,95054-madame-paul-gallimard-nee-lucie-duche-1892.jpg
Childe Hassam,Impressionism,portrait,Impressionism,"['female-portraits', 'Lady']",https://www.wikiart.org/en/childe-hassam/the-ash-blond,https://uploads7.wikiart.org/images/childe-hassam/the-ash-blond.jpg!Large.jpg,101604-the-ash-blond.jpg
Mary Cassatt,Impressionism,portrait,Impressionism,"['female-portraits', 'Lady', 'Cheek', 'Handfan', 'Fan', 'theatres']",https://www.wikiart.org/en/mary-cassatt/at-the-theater-1879,https://uploads3.wikiart.org/images/mary-cassatt/at-the-theater-1879.jpg!Large.jpg,96401-at-the-theater-1879.jpg
Franz Xaver Winterhalter,Neoclassicism,portrait,Neoclassicism,"['famous-people', 'female-portraits', 'Lady']",https://www.wikiart.org/en/franz-xaver-winterhalter/isabel-ii-of-united-kingdom,https://uploads5.wikiart.org/images/franz-xaver-winterhalter/isabel-ii-of-united-kingdom.jpg!Large.jpg,33381-isabel-ii-of-united-kingdom.jpg
Mary Jane Ansell,Kitsch,portrait,Kitsch,"['Angel', 'Wing', 'Beauty', 'fashion', 'Supernaturalcreature', 'Arm', 'Hand']",https://www.wikiart.org/en/mary-jane-ansell/treasuryofsouls-2017,https://uploads8.wikiart.org/00290/images/mary-jane-ansell/treasuryofsouls.jpg!Large.jpg,237919-treasuryofsouls.jpg
Ilya Repin,Realism,portrait,Realism,,https://www.wikiart.org/en/ilya-repin/portrait-of-savva-mamontov-1880,https://uploads4.wikiart.org/images/ilya-repin/portrait-of-savva-mamontov-1880.jpg!Large.jpg,70388-portrait-of-savva-mamontov-1880.jpg
Frank Auerbach,Expressionism,portrait,Expressionism,"['Sketch', 'male-portraits', 'Head', 'Line']",https://www.wikiart.org/en/frank-auerbach/jake,https://uploads7.wikiart.org/images/frank-auerbach/jake.jpg,138659-jake.jpg
Francois Boucher,Rococo,portrait,Rococo,"['female-portraits', 'Lady']",https://www.wikiart.org/en/francois-boucher/madame-bergeret-1766,https://uploads7.wikiart.org/images/francois-boucher/madame-bergeret-1766.jpg,25333-madame-bergeret-1766.jpg
Alexandre Cabanel,Academicism,portrait,Academic Art,,https://www.wikiart.org/en/alexandre-cabanel/portrait-of-miss-matthews,https://uploads3.wikiart.org/00396/images/alexandre-cabanel/https-bucketeer-e05bbc84-baa3-437e-9518-adb32be77984-s3-amazonaws-com-public-images-df54f047-4c49.jpeg!Large.jpeg,56504-https-bucketeer-e05bbc84-baa3-437e-9518-adb32be77984-s3-amazonaws-com-public-images-df54f047-4c49.jpeg!Large.jpeg
Frederic Leighton,Academicism,portrait,Academic Art,"['female-portraits', 'Lady', 'Beauty']",https://www.wikiart.org/en/frederic-leighton/portrait-of-a-lady,https://uploads7.wikiart.org/images/frederic-leighton/portrait-of-a-lady.jpg!Large.jpg,57632-portrait-of-a-lady.jpg
Frida Kahlo,Naïve Art (Primitivism),self-portrait,Magic Realism,"['famous-people', 'Frida-Kahlo', 'female-portraits', 'Face', 'Cheek', 'Chin', 'Forehead', 'Neck', 'Eyebrow', 'Head']",https://www.wikiart.org/en/frida-kahlo/self-portrait-with-necklace-1933,https://uploads0.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/self-portrait-with-necklace-1933.jpg!Large.jpg,175018-self-portrait-with-necklace-1933.jpg
Tsuguharu Foujita,Magic Realism,portrait,Expressionism,,https://www.wikiart.org/en/tsuguharu-foujita/girl,https://uploads2.wikiart.org/images/tsuguharu-foujita/girl.jpg!Large.jpg,132886-girl.jpg
Frans Hals,Baroque,portrait,Baroque,"['female-portraits', 'Lady']",https://www.wikiart.org/en/frans-hals/portrait-of-a-woman-1638,https://uploads6.wikiart.org/images/frans-hals/portrait-of-a-woman-1638.jpg!Large.jpg,12195-portrait-of-a-woman-1638.jpg
Paula Rego,Expressionism,portrait,Expressionism,"['Musician', 'Musicalinstrument', 'Guitarist', 'Stringinstrument', 'Pluckedstringinstruments']",https://www.wikiart.org/en/paula-rego/olga-2003,https://uploads0.wikiart.org/images/paula-rego/olga-2003.jpg!Large.jpg,138807-olga-2003.jpg
Konstantin Makovsky,Romanticism,portrait,Romanticism,"['male-portraits', 'Gentleman']",https://www.wikiart.org/en/konstantin-makovsky/mikhail-azanchevsky,https://uploads1.wikiart.org/images/konstantin-makovsky/mikhail-azanchevsky.jpg!Large.jpg,49329-mikhail-azanchevsky.jpg
Ivan Serpa,Art Informel,portrait,Neo-Concretism,"['Head', 'Sketch']",https://www.wikiart.org/en/ivan-serpa/figura-fase-negra-1964-3,https://uploads7.wikiart.org/images/ivan-serpa/figura-fase-negra-1964(2).jpg!Large.jpg,210009-figura-fase-negra-1964(2).jpg
Henri Matisse,Fauvism,portrait,Impressionism,,https://www.wikiart.org/en/henri-matisse/idol-1942,https://uploads3.wikiart.org/00140/images/henri-matisse/idol-1942.jpg!Large.jpg,105971-idol-1942.jpg
Henri de Toulouse-Lautrec,Impressionism,portrait,Post-Impressionism,"['childrenportraits', 'Lady', 'Head', 'Chin']",https://www.wikiart.org/en/henri-de-toulouse-lautrec/portrait-of-a-child-1882,https://uploads3.wikiart.org/images/henri-de-toulouse-lautrec/portrait-of-a-child-1882.jpg!Large.jpg,117239-portrait-of-a-child-1882.jpg
Oskar Kokoschka,Expressionism,portrait,Expressionism,"['male-portraits', 'Eye']",https://www.wikiart.org/en/oskar-kokoschka/not_detected_235884,https://uploads6.wikiart.org/images/oskar-kokoschka/not_detected_235884.jpg!Large.jpg,132533-not_detected_235884.jpg
Alberto da Veiga Guignard,Expressionism,self-portrait,Modernism,"['Forehead', 'Chin']",https://www.wikiart.org/en/guignard/auto-retrato-1930,https://uploads2.wikiart.org/00312/images/guignard/auto-retrato-1930.jpg,173576-auto-retrato-1930.jpg
Nikolay Bogdanov-Belsky,Realism,portrait,Realism,"['childrenportraits', 'Stringinstrument', 'Kobza', 'Musicalinstrument', 'Lute', 'Pluckedstringinstruments', 'Mandolin', 'Folkinstrument', 'Domra']",https://www.wikiart.org/en/nikolay-bogdanov-belsky/balalaika-player,https://uploads1.wikiart.org/images/nikolay-bogdanov-belsky/balalaika-player.jpg,75677-balalaika-player.jpg
Raphael,Unknown,portrait,High Renaissance,,https://www.wikiart.org/en/raphael/portrait-of-elizabeth-gonzaga,https://uploads8.wikiart.org/images/raphael/portrait-of-elizabeth-gonzaga.jpg!Large.jpg,6229-portrait-of-elizabeth-gonzaga.jpg
