artist,style,genre,movement,tags,url,img,file_name
Gustave Buchet,Purism,nude painting (nu),Cubism,"['Classicalsculpture', 'Figuredrawing']",https://www.wikiart.org/en/gustave-buchet/frauenakt-1930-1,https://uploads1.wikiart.org/images/gustave-buchet/frauenakt-1930-1.jpg,155907-frauenakt-1930-1.jpg
Gustave Buchet,Purism,nude painting (nu),Cubism,"['Arm', 'Joint', 'Leg', 'Humanbody']",https://www.wikiart.org/en/gustave-buchet/nude-seen-from-back-1930,https://uploads0.wikiart.org/images/gustave-buchet/nude-seen-from-back-1930.jpg,155908-nude-seen-from-back-1930.jpg
Gustave Buchet,Purism,nude painting (nu),Cubism,"['Humanbody', 'Figuredrawing']",https://www.wikiart.org/en/gustave-buchet/three-women-1930,https://uploads1.wikiart.org/images/gustave-buchet/three-women-1930.jpg,155909-three-women-1930.jpg
Gustave Buchet,Expressionism,nude painting (nu),Cubism,"['Nose', 'Neck']",https://www.wikiart.org/en/gustave-buchet/torse-1953,https://uploads4.wikiart.org/images/gustave-buchet/torse-1953.jpg,155913-torse-1953.jpg
Gustave Buchet,Expressionism,nude painting (nu),Cubism,,https://www.wikiart.org/en/gustave-buchet/lesender-akt,https://uploads6.wikiart.org/images/gustave-buchet/lesender-akt.jpg,155920-lesender-akt.jpg
Gustave Buchet,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/gustave-buchet/untitled,https://uploads2.wikiart.org/images/gustave-buchet/untitled.jpg,155921-untitled.jpg
Jury Annenkov,Expressionism,nude painting (nu),Cubism,['female-nude'],https://www.wikiart.org/en/jury-annenkov/hommage-a-modigliani-nude-1930,https://uploads6.wikiart.org/images/jury-annenkov/hommage-a-modigliani-nude-1930.jpg!Large.jpg,156016-hommage-a-modigliani-nude-1930.jpg
Jury Annenkov,Expressionism,nude painting (nu),Cubism,"['allegories-and-symbols', 'female-nude']",https://www.wikiart.org/en/jury-annenkov/montparnasse,https://uploads6.wikiart.org/images/jury-annenkov/montparnasse.jpg!Large.jpg,156026-montparnasse.jpg
Kmetty János,Cubism,nude painting (nu),Cubism,"['Male', 'Muscle', 'Chest', 'Human', 'Humanbody']",https://www.wikiart.org/en/kmetty-janos/two-standing-nudes-with-drapery-1918,https://uploads8.wikiart.org/00162/images/kmetty-janos/two-nude-women.png,156265-two-nude-women.png
Vytautas Kairiukstis,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/vytautas-kairiukstis/vakaras-irkutske-1920,https://uploads3.wikiart.org/00132/images/vytautas-kairiukstis/vakaras-irkutske-1920.jpg!Large.jpg,156470-vakaras-irkutske-1920.jpg
Vytautas Kairiukstis,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/vytautas-kairiukstis/moterys-pliaze-1930,https://uploads1.wikiart.org/00132/images/vytautas-kairiukstis/moterys-plia-e-1930.jpg!Large.jpg,156482-moterys-plia-e-1930.jpg
