,artist,style,genre,movement,tags,url,img,file_name,detections,nude,gender
2532,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-nude', 'Standing', 'Sketch', 'Figuredrawing', 'Human']",https://www.wikiart.org/en/egon-schiele/standing-male-nude-back-view-1910,https://uploads8.wikiart.org/images/egon-schiele/standing-male-nude-back-view-1910.jpg!Large.jpg,133600-standing-male-nude-back-view-1910.jpg,"[{'class': 'FEET_COVERED', 'score': 0.2754558324813843, 'box': [281, 472, 70, 127]}]",False,unknown
2533,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Sketch', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/standing-nude-with-large-hat-gertrude-schiele-1910,https://uploads7.wikiart.org/images/egon-schiele/standing-nude-with-large-hat-gertrude-schiele-1910.jpg!Large.jpg,133601-standing-nude-with-large-hat-gertrude-schiele-1910.jpg,,False,unknown
2534,Egon Schiele,Expressionism,"nude painting (nu),portrait",Expressionism,"['Sketch', 'male-nude', 'Male']",https://www.wikiart.org/en/egon-schiele/portrait-of-erwin-dominilk-osen-mime-van-osen-0,https://uploads3.wikiart.org/00261/images/egon-schiele/1910-retrato-de-erwin-dominilk-osen.jpg!Large.jpg,133608-1910-retrato-de-erwin-dominilk-osen.jpg,,False,unknown
2535,Egon Schiele,Expressionism,"nude painting (nu),portrait",Expressionism,"['Head', 'Text', 'Human', 'Sketch', 'Neck', 'male-nude']",https://www.wikiart.org/en/egon-schiele/portrait-of-erwin-dominilk-osen-mime-van-osen,https://uploads4.wikiart.org/00261/images/egon-schiele/1910-rretrato-de-erwin-dominilk-osen.jpg!Large.jpg,133609-1910-rretrato-de-erwin-dominilk-osen.jpg,,False,unknown
2536,Egon Schiele,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/egon-schiele/black-haired-girl-with-high-skirt-1911,https://uploads8.wikiart.org/00284/images/egon-schiele/black-haired-girl-with-high-skirt-1911.jpg!Large.jpg,133610-black-haired-girl-with-high-skirt-1911.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.5858066082000732, 'box': [245, 38, 85, 84]}]",False,female
2537,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['Lady', 'female-nude']",https://www.wikiart.org/en/egon-schiele/nude-with-red-garters-1911,https://uploads8.wikiart.org/00246/images/egon-schiele/egon-schiele-akt-mit-roten-strumpfba-ndern.jpg!Large.jpg,133611-egon-schiele-akt-mit-roten-strumpfba-ndern.jpg,"[{'class': 'BELLY_EXPOSED', 'score': 0.7639927864074707, 'box': [129, 292, 80, 86]}, {'class': 'FACE_FEMALE', 'score': 0.6787638068199158, 'box': [142, 129, 66, 66]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.6540020704269409, 'box': [117, 226, 57, 49]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.6523099541664124, 'box': [181, 227, 53, 50]}, {'class': 'FEMALE_GENITALIA_EXPOSED', 'score': 0.5300084352493286, 'box': [147, 386, 34, 55]}]",True,female
2538,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'characters-and-emotions', 'Lady', 'Sketch', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/girl-in-black-1911,https://uploads2.wikiart.org/images/egon-schiele/girl-in-black-1911.jpg!Large.jpg,133619-girl-in-black-1911.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.3928567171096802, 'box': [213, 62, 97, 90]}]",False,female
2539,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-portraits', 'Fashionillustration', 'Lady']",https://www.wikiart.org/en/egon-schiele/kneeling-semi-nude-1911,https://uploads7.wikiart.org/images/egon-schiele/kneeling-semi-nude-1911.jpg!Large.jpg,133621-kneeling-semi-nude-1911.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.42244088649749756, 'box': [207, 46, 68, 62]}]",False,female
2540,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-portraits', 'famous-people', 'male-nude', 'Figuredrawing', 'Human', 'Sketch']",https://www.wikiart.org/en/egon-schiele/self-portrait-1911,https://uploads2.wikiart.org/images/egon-schiele/self-portrait-1911.jpg!Large.jpg,133631-self-portrait-1911.jpg,,False,unknown
2541,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Arm', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/two-female-nudes-one-reclining-one-kneeling-1912,https://uploads5.wikiart.org/images/egon-schiele/two-female-nudes-one-reclining-one-kneeling-1912.jpg!Large.jpg,133676-two-female-nudes-one-reclining-one-kneeling-1912.jpg,,False,unknown
